1,1,Quận Ba Đình,001
2,1,Quận Hoàn Kiếm,002
3,1,Quận Tây Hồ,003
4,1,Quận Long Biên,004
5,1,Quận Cầu Giấy,005
6,1,Quận Đống Đa,006
7,1,Quận Hai Bà Trưng,007
8,1,Quận Hoàng Mai,008
9,1,Quận Thanh Xuân,009
16,1,Huyện Sóc Sơn,016
17,1,Huyện Đông Anh,017
18,1,Huyện Gia Lâm,018
19,1,Quận Nam Từ Liêm,019
20,1,Huyện Thanh Trì,020
21,1,Quận Bắc Từ Liêm,021
250,1,Huyện Mê Linh,250
268,1,Quận Hà Đông,268
269,1,Thị xã Sơn Tây,269
271,1,Huyện Ba Vì,271
272,1,Huyện Phúc Thọ,272
273,1,Huyện Đan Phượng,273
274,1,Huyện Hoài Đức,274
275,1,Huyện Quốc Oai,275
276,1,Huyện Thạch Thất,276
277,1,Huyện Chương Mỹ,277
278,1,Huyện Thanh Oai,278
279,1,Huyện Thường Tín,279
280,1,Huyện Phú Xuyên,280
281,1,Huyện Ứng Hòa,281
282,1,Huyện Mỹ Đức,282
24,2,Thành phố Hà Giang,024
26,2,Huyện Đồng Văn,026
27,2,Huyện Mèo Vạc,027
28,2,Huyện Yên Minh,028
29,2,Huyện Quản Bạ,029
30,2,Huyện Vị Xuyên,030
31,2,Huyện Bắc Mê,031
32,2,Huyện Hoàng Su Phì,032
33,2,Huyện Xín Mần,033
34,2,Huyện Bắc Quang,034
35,2,Huyện Quang Bình,035
40,4,Thành phố Cao Bằng,040
42,4,Huyện Bảo Lâm,042
43,4,Huyện Bảo Lạc,043
44,4,Huyện Thông Nông,044
45,4,Huyện Hà Quảng,045
46,4,Huyện Trà Lĩnh,046
47,4,Huyện Trùng Khánh,047
48,4,Huyện Hạ Lang,048
49,4,Huyện Quảng Uyên,049
50,4,Huyện Phục Hoà,050
51,4,Huyện Hoà An,051
52,4,Huyện Nguyên Bình,052
53,4,Huyện Thạch An,053
58,6,Thành Phố Bắc Kạn,058
60,6,Huyện Pác Nặm,060
61,6,Huyện Ba Bể,061
62,6,Huyện Ngân Sơn,062
63,6,Huyện Bạch Thông,063
64,6,Huyện Chợ Đồn,064
65,6,Huyện Chợ Mới,065
66,6,Huyện Na Rì,066
70,8,Thành phố Tuyên Quang,070
71,8,Huyện Lâm Bình,071
72,8,Huyện Nà Hang,072
73,8,Huyện Chiêm Hóa,073
74,8,Huyện Hàm Yên,074
75,8,Huyện Yên Sơn,075
76,8,Huyện Sơn Dương,076
80,10,Thành phố Lào Cai,080
82,10,Huyện Bát Xát,082
83,10,Huyện Mường Khương,083
84,10,Huyện Si Ma Cai,084
85,10,Huyện Bắc Hà,085
86,10,Huyện Bảo Thắng,086
87,10,Huyện Bảo Yên,087
88,10,Huyện Sa Pa,088
89,10,Huyện Văn Bàn,089
94,11,Thành phố Điện Biên Phủ,094
95,11,Thị Xã Mường Lay,095
96,11,Huyện Mường Nhé,096
97,11,Huyện Mường Chà,097
98,11,Huyện Tủa Chùa,098
99,11,Huyện Tuần Giáo,099
